MPN,ICT P/N,DESC,Manufacturer,Group,WH PIC
51746-0670P-012,050-Z67280-003H,"M.2, M KEY, H2.3, P0.5, 67P",ACES,7-CONN,A42
APCI0019-P003H,050-Z67280-002H,"M.2, E KEY, H3.2, P0.5, 67P",LOTES,7-CONN,A43
APCI0146-P002H,050-Z67280-001H,"M.2, M KEY, H2.3, P0.5, 67P",LOTES,7-CONN,A43
C128AU-K1935-L,050-802050-007H,"HDMI,REV,CH-1.18,沉板,19P,Black",ALL TOP,7-CONN,A43
C14109-10835-L,050-123088-002H,"WTB, H2, P1.25, 8P, R/A",ALL TOP,7-CONN,A43
DF40C-60DS-0.4V,050-Z60262-001H,"BTB, H1.45, P0.4, 60P, V/T",HRS,7-CONN,A43
FH34SRJ-20S-0.5SH,050-Z20262-001H,"ZIF, H1.7, P0.5, 20P, R/A",HRS,7-CONN,A43
MUC84-558207 ,,,ACON,7-CONN,A43
MUC84-558702,050-1Z2081-001H,ACON MUC84-558702,ACON,7-CONN,A43
PPFP05-N010-17F-1H,,,BU10,7-CONN,A44
PPFP05-N112-17F-1H,,,BU10,7-CONN,A44
PPM2P3-3E67-10F-1H,,,BU10,7-CONN,A44
PPWB08-G004-01F-1R,,"WTB, H1.75, P0.8, 4P, R/A",BU10,7-CONN,A44
UB11245-B200B-1H,050-4P2E70-001H,"TYPE C,CH -1.15, 24P",DRAPHO,7-CONN,A45
WS33081-S0201-HF,050-123088-001H,"WTB, H2, P1.25, 8P, R/A",DRAPHO,7-CONN,A45
WS43401-S0101-HF,050-Z40270-002H,"EDP, pitch 0.4, H1, 40pin, R/A",DRAPHO,7-CONN,A45
WS83040-S0171-HF,050-1Z3048-001H,"WTB, H1.75, P0.8, 4P, R/A",DRAPHO,7-CONN,A45
CC6201ST,,,,8-IO BOARD,A46
MMBT3906,13307-S060001H-00,"BJT,PNP,MMBT3906,SOT-23,HF,JINGHENG",JINGHENG,8-IO BOARD,A46
STANDOFF GPU,,"H2.2, ?4.6",HARMONY MOUNTAINS,9-STANDOFF,A46
STANDOFF WLAN,,"H2.9, ?5",HARMONY MOUNTAINS,9-STANDOFF,A46
ASIH1 10 CABLE ASSY,,,LUXSHARE-ICT,11-?材,A47
ASIH1 2K AUO EDP CABLE,,,LUXSHARE-ICT,11-?材,A47
ASIH1 2K BOE EDP CABLE,,,LUXSHARE-ICT,11-?材,A47
ASIH1 FHD EDP CABLE,,,LUXSHARE-ICT,11-?材,A47
ASIH1-FP-FFC,,10P,LUXSHARE-ICT,11-?材,A47
ASIH1-TP-FFC,,8P,LUXSHARE-ICT,11-?材,A47
CAMERA(HD),,,,10-?像?,A48
60355-0037P-001,,,,12-其他,A49
999M2T,,,,12-其他,A49
APW8713EQBI-TRG,,,,12-其他,A49
APW9109BI-TRG,,,,12-其他,A49
LR1206-21R020F4,13003-S020006H-00,,,12-其他,A49
NV140DRM-N61,,,,12-其他,A49
PE0402FRF7T0R01L,13003-S000031H-00,0.01_0402_1%,YAGEO,12-其他,A49
PESD5V0H1BSF,13305-S030012H-00,PESD5V0H1BSFYL-GP-U1,NEXPERIA,12-其他,A49
PH291-002T410P,,,,12-其他,A49
RTH06R010FTP,13003-S020013H-00,,,12-其他,A49
SB472A22H2,,,,12-其他,A49
